source_taxon_external_id,source_taxon_name,source_taxon_path,source_specimen_life_stage,interaction_type,target_taxon_external_id,target_taxon_name,target_taxon_path,study_citation
AphiaID:106501,Chordeumium obesum,Animalia | Arthropoda | Copepoda | Cyclopoida | Chordeumiidae | Chordeumium | Chordeumium obesum,adult,endoparasitic,AphiaID:AphiaID:106501,Asteronyx loveni,Animalia  |  Arthropoda  |  Copepoda  |  Cyclopoida  |  Chordeumiidae  |  Chordeumium  |  Chordeumium obesum,"Jungersen, H.F.E. (1912). Chordeuma obesum, a new parasitic copepod endoparasite in Asteronyx loveni. <em>Reports of the British Association for the Advancement of Science.</em> 82:505-506. [poor description no figures, see Jungersen, 1914]."
AphiaID:106501,Chordeumium obesum,Animalia | Arthropoda | Copepoda | Cyclopoida | Chordeumiidae | Chordeumium | Chordeumium obesum,adult,ectoparasitic,AphiaID:AphiaID:106501,Asteronyx loveni,Animalia  |  Arthropoda  |  Copepoda  |  Cyclopoida  |  Chordeumiidae  |  Chordeumium  |  Chordeumium obesum,"Mortensen, Th. (1927). Handbook of the echinoderms of the British Isles. Humphrey Milford/Oxford University Press: London. IX, 471 pp."
AphiaID:106503,Parachordeumium amphiurae,Animalia | Arthropoda | Copepoda | Cyclopoida | Chordeumiidae | Parachordeumium | Parachordeumium amphiurae,adult,endoparasitic,AphiaID:AphiaID:106503,Amphipholis squamata,Animalia  |  Arthropoda  |  Copepoda  |  Cyclopoida  |  Chordeumiidae  |  Parachordeumium  |  Parachordeumium amphiurae,"Herouard, E. (1906). Sur un nouveau Copépode parasite d'Amphiura squammata. Comptes Rendus Hebdomadaires des Séances de l'Académie des Sciences, Paris 142:1287-1289, figs. 1-3."
AphiaID:106503,Parachordeumium amphiurae,Animalia | Arthropoda | Copepoda | Cyclopoida | Chordeumiidae | Parachordeumium | Parachordeumium amphiurae,adult,ectoparasitic,AphiaID:AphiaID:106503,Amphipholis squamata,Animalia  |  Arthropoda  |  Copepoda  |  Cyclopoida  |  Chordeumiidae  |  Parachordeumium  |  Parachordeumium amphiurae,"Ostergaard, P. & R. Emson. (1997). Interactions between the life histories of a parasitic copepod, Parachordeumium amphiurae, and its brittle star host, Amphipolis squamata. Journal of Crustacean Biology 17(4):621-631. (6.xi.1997)"
AphiaID:106503,Parachordeumium amphiurae,Animalia | Arthropoda | Copepoda | Cyclopoida | Chordeumiidae | Parachordeumium | Parachordeumium amphiurae,adult,ectoparasitic,AphiaID:AphiaID:106503,Amphipholis squamata,Animalia  |  Arthropoda  |  Copepoda  |  Cyclopoida  |  Chordeumiidae  |  Parachordeumium  |  Parachordeumium amphiurae,"Whitfield, P.J. & R.H. Emson. (1988). Parachordeumium amphiurae: a cuckoo copepod?. <em>In: Boxshall, G.A. & H.K. Schminke (eds.). Biology of Copepods. Proceedings of the Third International Conference on Copepoda. Developments in Hydrobiolology 47, Kluwe"
AphiaID:416526,Euryte minor,Animalia | Arthropoda | Copepoda | Cyclopoida | Euryteidae | Euryte | Euryte minor,adult,ectoparasitic,AphiaID:AphiaID:416526,Flustra foliacea,Animalia  |  Arthropoda  |  Copepoda  |  Cyclopoida  |  Euryteidae  |  Euryte  |  Euryte minor,"Ferrari, F.D. & V.N. Ivanenko. (2005). Copepodid stages of Euryte longicauda (Cyclopoida, Cyclopidae, Euryteinae) from the White Sea associated with the bryozoan Flustra foliacea. Journal of Crustacean Biology 25(3):353-374."
AphiaID:106556,Gomphopodarion byssoicum,Animalia | Arthropoda | Copepoda | Cyclopoida | Enterognathidae | Gomphopodarion | Gomphopodarion byssoicum,adult,ectoparasitic,AphiaID:AphiaID:106556,Oneirophanta mutabilis mutabilis,Animalia  |  Arthropoda  |  Copepoda  |  Cyclopoida  |  Enterognathidae  |  Gomphopodarion  |  Gomphopodarion byssoicum,"Humes, A.G. (1980). A review of the copepods associated with holothurians, including new species from the Indo-Pacific. Beaufortia 30(4):31-123, figs. 1-40, tabs. 1-6. (28-xi-1980)"
AphiaID:106556,Gomphopodarion byssoicum,Animalia | Arthropoda | Copepoda | Cyclopoida | Enterognathidae | Gomphopodarion | Gomphopodarion byssoicum,adult,ectoparasitic,AphiaID:AphiaID:106556,Oneirophanta mutabilis mutabilis,Animalia  |  Arthropoda  |  Copepoda  |  Cyclopoida  |  Enterognathidae  |  Gomphopodarion  |  Gomphopodarion byssoicum,"Humes, A.G. (1974). New cyclopoid copepods associated with an abyssal holothurian in the eastern North Atlantic. Journal of Natural History 8(1):101-117, figs. 1-51. (7-i-1974)"
AphiaID:106556,Gomphopodarion byssoicum,Animalia | Arthropoda | Copepoda | Cyclopoida | Enterognathidae | Gomphopodarion | Gomphopodarion byssoicum,adult,endoparasitic,AphiaID:AphiaID:106556,Oneirophanta mutabilis mutabilis,Animalia  |  Arthropoda  |  Copepoda  |  Cyclopoida  |  Enterognathidae  |  Gomphopodarion  |  Gomphopodarion byssoicum,"Humes, A.G. (1974). New cyclopoid copepods associated with an abyssal holothurian in the eastern North Atlantic. Journal of Natural History 8(1):101-117, figs. 1-51. (7-i-1974)"
AphiaID:106576,Enterognathus comatulae,Animalia | Arthropoda | Copepoda | Cyclopoida | Enterognathidae | Enterognathus | Enterognathus comatulae,adult,endoparasitic,AphiaID:AphiaID:106576,Antedon bifida,Animalia  |  Arthropoda  |  Copepoda  |  Cyclopoida  |  Enterognathidae  |  Enterognathus  |  Enterognathus comatulae,"Grainger, J.N.R. (1950). Notes on parasitic Crustacea. Annals and Magazine of Natural History (12)3:635-638, figs. a-e. (vii-1950)"
AphiaID:106576,Enterognathus comatulae,Animalia | Arthropoda | Copepoda | Cyclopoida | Enterognathidae | Enterognathus | Enterognathus comatulae,adult,endoparasitic,AphiaID:AphiaID:106576,Antedon bifida,Animalia  |  Arthropoda  |  Copepoda  |  Cyclopoida  |  Enterognathidae  |  Enterognathus  |  Enterognathus comatulae,"Holmes, J.M.C. & R.V. Gotto. (2000). A checklist of the Cyclopoida (Crustacea: Copepoda) of Ireland. <em>Irish Biogeographical Society Bulletin.</em> 24: 2-42."
AphiaID:106576,Enterognathus comatulae,Animalia | Arthropoda | Copepoda | Cyclopoida | Enterognathidae | Enterognathus | Enterognathus comatulae,adult,endoparasitic,AphiaID:AphiaID:106576,Antedon bifida,Animalia  |  Arthropoda  |  Copepoda  |  Cyclopoida  |  Enterognathidae  |  Enterognathus  |  Enterognathus comatulae,"Giesbrecht, W. (1900). Mittheilungen über Copepoden 12-14. Mittheilungen aus der Zoologischen Station zu Neapel 14(1):39-82, pls. 2-5. (14-vi-1900)"
AphiaID:106576,Enterognathus comatulae,Animalia | Arthropoda | Copepoda | Cyclopoida | Enterognathidae | Enterognathus | Enterognathus comatulae,adult,ectoparasitic,AphiaID:AphiaID:106576,Antedon bifida bifida,Animalia  |  Arthropoda  |  Copepoda  |  Cyclopoida  |  Enterognathidae  |  Enterognathus  |  Enterognathus comatulae,"Ooishi, S. (1991). North Pacific copepods (Cyclopoida: Ascidicolidae) associated mostly with compound ascidians. In: Uye, S.I., S. Nishida & J.S. Ho (eds.).  Proceedings of the  Fourth International Conference on Copepoda. Bulletin of Plankton Society of"
AphiaID:106576,Enterognathus comatulae,Animalia | Arthropoda | Copepoda | Cyclopoida | Enterognathidae | Enterognathus | Enterognathus comatulae,adult,ectoparasitic,AphiaID:AphiaID:106576,Antedon bifida bifida,Animalia  |  Arthropoda  |  Copepoda  |  Cyclopoida  |  Enterognathidae  |  Enterognathus  |  Enterognathus comatulae,"Humes, A.G. (1975). Cyclopoid copepods (Nanaspidae and Sabelliphilidae) associated with holothurians in New Caledonia. Smithsonian Contributions to Zoology 202:1-41, figs. 1-24. (12-viii-1975)"
AphiaID:106606,Doropygopsis arctica,Animalia | Arthropoda | Copepoda | Cyclopoida | Notodelphyidae | Doropygopsis | Doropygopsis arctica,adult,ectoparasitic,AphiaID:AphiaID:106606,Molgula citrina,Animalia  |  Arthropoda  |  Copepoda  |  Cyclopoida  |  Notodelphyidae  |  Doropygopsis  |  Doropygopsis arctica,"Marchenkov, A.V. (1998). A new notodelphyid copepod, Doropygopsis arctica sp. nov. (Cyclopoida), parasitic in ascidian of the Molgula arctica from the White Sea. In: Dahms, H.U., T. Glatzel, H.J. Hirche, S. Schiel & H.K. Schminke, (eds.). Proceedings of t"
AphiaID:106618,Notodelphys canui,Animalia | Arthropoda | Copepoda | Cyclopoida | Notodelphyidae | Notodelphys | Notodelphys canui,adult,ectoparasitic,AphiaID:AphiaID:106618,Molgula citrina,Animalia  |  Arthropoda  |  Copepoda  |  Cyclopoida  |  Notodelphyidae  |  Notodelphys  |  Notodelphys canui,"Holmes, J.M.C. & R.V. Gotto. (2000). A checklist of the Cyclopoida (Crustacea: Copepoda) of Ireland. <em>Irish Biogeographical Society Bulletin.</em> 24: 2-42."
AphiaID:106618,Notodelphys canui,Animalia | Arthropoda | Copepoda | Cyclopoida | Notodelphyidae | Notodelphys | Notodelphys canui,adult,ectoparasitic,AphiaID:AphiaID:106618,Molgula citrina,Animalia  |  Arthropoda  |  Copepoda  |  Cyclopoida  |  Notodelphyidae  |  Notodelphys  |  Notodelphys canui,"Roland, C. (1963). Notodelphys canui nov. sp., nouvelle espèce de Copépodes parasites d'Ascidies de la région de Wimereux. Bulletin du Museum National d'Histoire Naturelle, Paris (2)35(1):100-105, figs. 1-3. (31-vii-1963)"
AphiaID:115678,Balaenophilus unisetus,Animalia | Arthropoda | Copepoda | Harpacticoida | Balaenophilidae | Balaenophilus | Balaenophilus unisetus,adult,ectoparasitic,AphiaID:AphiaID:115678,Balaenoptera musculus,Animalia  |  Arthropoda  |  Copepoda  |  Harpacticoida  |  Balaenophilidae  |  Balaenophilus  |  Balaenophilus unisetus,"Vervoort, W. & D. Tranter. (1961). Balaenophilus unisetus P.O.C. Aurivillius (Copepoda Harpactioida) from the Southern Hemisphere. Crustaceana, Leiden 3(1):70-84, figs. 1-6. (18-viii-1961)"
AphiaID:115678,Balaenophilus unisetus,Animalia | Arthropoda | Copepoda | Harpacticoida | Balaenophilidae | Balaenophilus | Balaenophilus unisetus,adult,ectoparasitic,AphiaID:AphiaID:115678,Balaenoptera musculus,Animalia  |  Arthropoda  |  Copepoda  |  Harpacticoida  |  Balaenophilidae  |  Balaenophilus  |  Balaenophilus unisetus,"Measures, L.N. (1993). Annotated list of metazoan parasites reported from the blue whale, Balaenoptera musculus. Journal of the Helminthological Society of Washington 60(1):62-66, tab. 1. Meneghetti, F., P.M. Bisot, M. Gervelli, A. Comaschi Scaramuzza & B"
AphiaID:116121,Peltobradya bryozoophila,Animalia | Arthropoda | Copepoda | Harpacticoida | Ectinosomatidae | Peltobradya | Peltobradya bryozoophila,adult,ectoparasitic,AphiaID:AphiaID:116121,Schizomavella (Schizomavella) linearis,Animalia  |  Arthropoda  |  Copepoda  |  Harpacticoida  |  Ectinosomatidae  |  Peltobradya  |  Peltobradya bryozoophila,"Médioni, A. & J. Soyer. (1968). Copépodes Harpacticoïdes de Banyuls-sur-Mer. 6. Nouvelles formes associées à des Bryozoaires. <em>Vie et Milieu.</em> A 18(2):317-343, figs. 1-13. (ii-1968)."
AphiaID:116162,Euterpina acutifrons,Animalia | Arthropoda | Copepoda | Harpacticoida | Tachidiidae | Euterpina | Euterpina acutifrons,adult,ectoparasitic,AphiaID:AphiaID:116162,Astropecten irregularis,Animalia  |  Arthropoda  |  Copepoda  |  Harpacticoida  |  Tachidiidae  |  Euterpina  |  Euterpina acutifrons,"Huys, R. (1988). On the identity of the Namakosiramiidae Ho & Perkins 1977 (Crustacea, Copepoda), including a review of harpacticoid associates of Echinodermata. <em>Journal of Natural History.</em> 22(6): 1517-1532."
AphiaID:116231,Harrietella simulans,Animalia | Arthropoda | Copepoda | Harpacticoida | Laophontidae | Harrietella | Harrietella simulans,adult,ectoparasitic,AphiaID:AphiaID:116231,Limnoria lignorum,Animalia  |  Arthropoda  |  Copepoda  |  Harpacticoida  |  Laophontidae  |  Harrietella  |  Harrietella simulans,"Vervoort, W. (1950). Harrietella simulans (T. Scott, 1894), a commensal copepod on Limnoria lignorum (Rathke). Zoologische Mededelingen, Leiden 30(20):297-305, figs. 1-4. (10-vi-1950)"
AphiaID:116232,Hemilaophonte janinae,Animalia | Arthropoda | Copepoda | Harpacticoida | Laophontidae | Hemilaophonte | Hemilaophonte janinae,adult,ectoparasitic,AphiaID:AphiaID:116232,Maja squinado,Animalia  |  Arthropoda  |  Copepoda  |  Harpacticoida  |  Laophontidae  |  Hemilaophonte  |  Hemilaophonte janinae,"Huys, R. (2016). Harpacticoid copepods—their symbiotic associations and biogenic substrata: a review. <em>. In Huys, R. (Ed.), Recent Developments in Taxonomy and Biodiversity of Symbiotic Copepoda (Crustacea) – A Volume in Celebration of the Career of Pr"
AphiaID:116232,Hemilaophonte janinae,Animalia | Arthropoda | Copepoda | Harpacticoida | Laophontidae | Hemilaophonte | Hemilaophonte janinae,adult,ectoparasitic,AphiaID:AphiaID:116232,Maja brachydactyla,Animalia  |  Arthropoda  |  Copepoda  |  Harpacticoida  |  Laophontidae  |  Hemilaophonte  |  Hemilaophonte janinae,"Huys, R. (2016). Harpacticoid copepods—their symbiotic associations and biogenic substrata: a review. <em>. In Huys, R. (Ed.), Recent Developments in Taxonomy and Biodiversity of Symbiotic Copepoda (Crustacea) – A Volume in Celebration of the Career of Pr"
AphiaID:116254,Laophonte aldonae,Animalia | Arthropoda | Copepoda | Harpacticoida | Laophontidae | Laophonte | Laophonte aldonae,adult,ectoparasitic,AphiaID:AphiaID:116254,Semisuberites cribrosa,Animalia  |  Arthropoda  |  Copepoda  |  Harpacticoida  |  Laophontidae  |  Laophonte  |  Laophonte aldonae,"Huys, R. (1988). On the identity of the Namakosiramiidae Ho & Perkins 1977 (Crustacea, Copepoda), including a review of harpacticoid associates of Echinodermata. <em>Journal of Natural History.</em> 22(6): 1517-1532."
AphiaID:116269,Laophonte inopinata,Animalia | Arthropoda | Copepoda | Harpacticoida | Laophontidae | Laophonte | Laophonte inopinata,adult,ectoparasitic,AphiaID:AphiaID:116269,Semisuberites cribrosa,Animalia  |  Arthropoda  |  Copepoda  |  Harpacticoida  |  Laophontidae  |  Laophonte  |  Laophonte inopinata,"Huys, R. (1988). On the identity of the Namakosiramiidae Ho & Perkins 1977 (Crustacea, Copepoda), including a review of harpacticoid associates of Echinodermata. <em>Journal of Natural History.</em> 22(6): 1517-1532."
AphiaID:1544090,Paralaophonte (Loureirophonte) majacola,Animalia | Arthropoda | Copepoda | Harpacticoida | Laophontidae | Loureirophonte | Paralaophonte (Loureirophonte) majacola,adult,ectoparasitic,AphiaID:AphiaID:1544090,Maja brachydactyla,Animalia  |  Arthropoda  |  Copepoda  |  Harpacticoida  |  Laophontidae  |  Loureirophonte  |  Paralaophonte (Loureirophonte) majacola,"Huys, R. (2016). Harpacticoid copepods—their symbiotic associations and biogenic substrata: a review. <em>. In Huys, R. (Ed.), Recent Developments in Taxonomy and Biodiversity of Symbiotic Copepoda (Crustacea) – A Volume in Celebration of the Career of Pr"
AphiaID:1544045,Paralaophonte (Paralaophonte) hyperborea,Animalia | Arthropoda | Copepoda | Harpacticoida | Laophontidae | Paralaophonte | Paralaophonte (Paralaophonte) hyperborea,adult,ectoparasitic,AphiaID:AphiaID:1544045,Semisuberites cribrosa,Animalia  |  Arthropoda  |  Copepoda  |  Harpacticoida  |  Laophontidae  |  Paralaophonte  |  Paralaophonte (Paralaophonte) hyperborea,"Huys, R. (1988). On the identity of the Namakosiramiidae Ho & Perkins 1977 (Crustacea, Copepoda), including a review of harpacticoid associates of Echinodermata. <em>Journal of Natural History.</em> 22(6): 1517-1532."
AphiaID:1544054,Paralaophonte (Paralaophonte) innae,Animalia | Arthropoda | Copepoda | Harpacticoida | Laophontidae | Paralaophonte | Paralaophonte (Paralaophonte) innae,adult,ectoparasitic,AphiaID:AphiaID:1544054,Semisuberites cribrosa,Animalia  |  Arthropoda  |  Copepoda  |  Harpacticoida  |  Laophontidae  |  Paralaophonte  |  Paralaophonte (Paralaophonte) innae,"Huys, R. (1988). On the identity of the Namakosiramiidae Ho & Perkins 1977 (Crustacea, Copepoda), including a review of harpacticoid associates of Echinodermata. <em>Journal of Natural History.</em> 22(6): 1517-1532."
AphiaID:1544062,Paralaophonte (Paralaophonte) macera,Animalia | Arthropoda | Copepoda | Harpacticoida | Laophontidae | Paralaophonte | Paralaophonte (Paralaophonte) macera,adult,ectoparasitic,AphiaID:AphiaID:1544062,Semisuberites cribrosa,Animalia  |  Arthropoda  |  Copepoda  |  Harpacticoida  |  Laophontidae  |  Paralaophonte  |  Paralaophonte (Paralaophonte) macera,"Huys, R. (1988). On the identity of the Namakosiramiidae Ho & Perkins 1977 (Crustacea, Copepoda), including a review of harpacticoid associates of Echinodermata. <em>Journal of Natural History.</em> 22(6): 1517-1532."
AphiaID:1544063,Paralaophonte (Paralaophonte) majae,Animalia | Arthropoda | Copepoda | Harpacticoida | Laophontidae | Paralaophonte | Paralaophonte (Paralaophonte) majae,adult,ectoparasitic,AphiaID:AphiaID:1544063,Maja brachydactyla,Animalia  |  Arthropoda  |  Copepoda  |  Harpacticoida  |  Laophontidae  |  Paralaophonte  |  Paralaophonte (Paralaophonte) majae,"Huys, R. (2016). Harpacticoid copepods—their symbiotic associations and biogenic substrata: a review. <em>. In Huys, R. (Ed.), Recent Developments in Taxonomy and Biodiversity of Symbiotic Copepoda (Crustacea) – A Volume in Celebration of the Career of Pr"
AphiaID:1544077,Paralaophonte (Paralaophonte) royi,Animalia | Arthropoda | Copepoda | Harpacticoida | Laophontidae | Paralaophonte | Paralaophonte (Paralaophonte) royi,adult,ectoparasitic,AphiaID:AphiaID:1544077,Maja brachydactyla,Animalia  |  Arthropoda  |  Copepoda  |  Harpacticoida  |  Laophontidae  |  Paralaophonte  |  Paralaophonte (Paralaophonte) royi,"Huys, R. (2016). Harpacticoid copepods—their symbiotic associations and biogenic substrata: a review. <em>. In Huys, R. (Ed.), Recent Developments in Taxonomy and Biodiversity of Symbiotic Copepoda (Crustacea) – A Volume in Celebration of the Career of Pr"
AphiaID:116379,Metis holothuriae,Animalia | Arthropoda | Copepoda | Harpacticoida | Metidae | Metis | Metis holothuriae,adult,endoparasitic,AphiaID:AphiaID:116379,Actinopyga agassizii,Animalia  |  Arthropoda  |  Copepoda  |  Harpacticoida  |  Metidae  |  Metis  |  Metis holothuriae,"Humes, A.G. (1980). A review of the copepods associated with holothurians, including new species from the Indo-Pacific. Beaufortia 30(4):31-123, figs. 1-40, tabs. 1-6. (28-xi-1980)"
AphiaID:116379,Metis holothuriae,Animalia | Arthropoda | Copepoda | Harpacticoida | Metidae | Metis | Metis holothuriae,adult,endoparasitic,AphiaID:AphiaID:116379,Actinopyga agassizii,Animalia  |  Arthropoda  |  Copepoda  |  Harpacticoida  |  Metidae  |  Metis  |  Metis holothuriae,"Huys, R. (1988). On the identity of the Namakosiramiidae Ho & Perkins 1977 (Crustacea, Copepoda), including a review of harpacticoid associates of Echinodermata. <em>Journal of Natural History.</em> 22(6): 1517-1532."
AphiaID:116512,Tegastes knoepffleri,Animalia | Arthropoda | Copepoda | Harpacticoida | Tegastidae | Tegastes | Tegastes knoepffleri,adult,ectoparasitic,AphiaID:AphiaID:116512,Schizobrachiella sanguinea,Animalia  |  Arthropoda  |  Copepoda  |  Harpacticoida  |  Tegastidae  |  Tegastes  |  Tegastes knoepffleri,"Médioni, A. & J. Soyer. (1968). Copépodes Harpacticoïdes de Banyuls-sur-Mer. 6. Nouvelles formes associées à des Bryozoaires. <em>Vie et Milieu.</em> A 18(2):317-343, figs. 1-13. (ii-1968)."
AphiaID:116600,Parathalestris harpactoides,Animalia | Arthropoda | Copepoda | Harpacticoida | Thalestridae | Parathalestris | Parathalestris harpactoides,adult,ectoparasitic,AphiaID:AphiaID:116600,Crossaster papposus,Animalia  |  Arthropoda  |  Copepoda  |  Harpacticoida  |  Thalestridae  |  Parathalestris  |  Parathalestris harpactoides,"Huys, R. (1988). On the identity of the Namakosiramiidae Ho & Perkins 1977 (Crustacea, Copepoda), including a review of harpacticoid associates of Echinodermata. <em>Journal of Natural History.</em> 22(6): 1517-1532."
AphiaID:116600,Parathalestris harpactoides,Animalia | Arthropoda | Copepoda | Harpacticoida | Thalestridae | Parathalestris | Parathalestris harpactoides,adult,ectoparasitic,AphiaID:AphiaID:116600,Crossaster papposus,Animalia  |  Arthropoda  |  Copepoda  |  Harpacticoida  |  Thalestridae  |  Parathalestris  |  Parathalestris harpactoides,"Humes, A.G. (1986). Synopsis of copepods associated with asteroid echinoderms, including new species from the Moluccas. Journal of Natural History 20(4):981-1020, figs. 1-14, tabs. 1-3."
AphiaID:116619,Thalestris longimana,Animalia | Arthropoda | Copepoda | Harpacticoida | Thalestridae | Thalestris | Thalestris longimana,adult,ectoparasitic,AphiaID:AphiaID:116619,Ophiopholis aculeata,Animalia  |  Arthropoda  |  Copepoda  |  Harpacticoida  |  Thalestridae  |  Thalestris  |  Thalestris longimana,"Huys, R. (1988). On the identity of the Namakosiramiidae Ho & Perkins 1977 (Crustacea, Copepoda), including a review of harpacticoid associates of Echinodermata. <em>Journal of Natural History.</em> 22(6): 1517-1532."
AphiaID:116619,Thalestris longimana,Animalia | Arthropoda | Copepoda | Harpacticoida | Thalestridae | Thalestris | Thalestris longimana,adult,ectoparasitic,AphiaID:AphiaID:116619,Ophiothrix fragilis,Animalia  |  Arthropoda  |  Copepoda  |  Harpacticoida  |  Thalestridae  |  Thalestris  |  Thalestris longimana,"Huys, R. (1988). On the identity of the Namakosiramiidae Ho & Perkins 1977 (Crustacea, Copepoda), including a review of harpacticoid associates of Echinodermata. <em>Journal of Natural History.</em> 22(6): 1517-1532."
AphiaID:116630,Cholidya polypi,Animalia | Arthropoda | Copepoda | Harpacticoida | Tisbidae | Cholidya | Cholidya polypi,adult,ectoparasitic,AphiaID:AphiaID:116630,Graneledone pacifica,Animalia  |  Arthropoda  |  Copepoda  |  Harpacticoida  |  Tisbidae  |  Cholidya  |  Cholidya polypi,"Humes, A.G. & J.R. Voight. (1997). Cholidya polypi (Copepoda: Harpacticoida: Tisbidae), a parasite of deep-sea octopuses in the North Atlantic and northeastern Pacific. <em>Ophelia.</em> 46(1): 65-81."
AphiaID:116641,Sacodiscus humesi,Animalia | Arthropoda | Copepoda | Harpacticoida | Tisbidae | Sacodiscus | Sacodiscus humesi,adult,ectoparasitic,AphiaID:AphiaID:116641,Holothuria (Holothuria) tubulosa,Animalia  |  Arthropoda  |  Copepoda  |  Harpacticoida  |  Tisbidae  |  Sacodiscus  |  Sacodiscus humesi,"Huys, R. (1988). On the identity of the Namakosiramiidae Ho & Perkins 1977 (Crustacea, Copepoda), including a review of harpacticoid associates of Echinodermata. <em>Journal of Natural History.</em> 22(6): 1517-1532."
AphiaID:116641,Sacodiscus humesi,Animalia | Arthropoda | Copepoda | Harpacticoida | Tisbidae | Sacodiscus | Sacodiscus humesi,adult,endoparasitic,AphiaID:AphiaID:116641,Holothuria (Holothuria) tubulosa,Animalia  |  Arthropoda  |  Copepoda  |  Harpacticoida  |  Tisbidae  |  Sacodiscus  |  Sacodiscus humesi,"Humes, A.G. (1980). A review of the copepods associated with holothurians, including new species from the Indo-Pacific. Beaufortia 30(4):31-123, figs. 1-40, tabs. 1-6. (28-xi-1980)"
AphiaID:116641,Sacodiscus humesi,Animalia | Arthropoda | Copepoda | Harpacticoida | Tisbidae | Sacodiscus | Sacodiscus humesi,adult,endoparasitic,AphiaID:AphiaID:116641,Holothuria (Holothuria) tubulosa,Animalia  |  Arthropoda  |  Copepoda  |  Harpacticoida  |  Tisbidae  |  Sacodiscus  |  Sacodiscus humesi,"Stock, J.H. (1960). Sur quelques copépodes associés aux invertébrés des côtes du Roussillon. Crustaceana, Leiden 1(3):218-257, figs. 1-20. (24-viii-1960)"
AphiaID:116658,Tisbe cucumariae,Animalia | Arthropoda | Copepoda | Harpacticoida | Tisbidae | Tisbe | Tisbe cucumariae,adult,ectoparasitic,AphiaID:AphiaID:116658,Ocnus planci,Animalia  |  Arthropoda  |  Copepoda  |  Harpacticoida  |  Tisbidae  |  Tisbe  |  Tisbe cucumariae,"Humes, A.G. (1980). A review of the copepods associated with holothurians, including new species from the Indo-Pacific. Beaufortia 30(4):31-123, figs. 1-40, tabs. 1-6. (28-xi-1980)"
AphiaID:116658,Tisbe cucumariae,Animalia | Arthropoda | Copepoda | Harpacticoida | Tisbidae | Tisbe | Tisbe cucumariae,adult,endoparasitic,AphiaID:AphiaID:116658,Ocnus planci,Animalia  |  Arthropoda  |  Copepoda  |  Harpacticoida  |  Tisbidae  |  Tisbe  |  Tisbe cucumariae,"Huys, R. (1988). On the identity of the Namakosiramiidae Ho & Perkins 1977 (Crustacea, Copepoda), including a review of harpacticoid associates of Echinodermata. <em>Journal of Natural History.</em> 22(6): 1517-1532."
AphiaID:116911,Tisbe furcata furcata,Animalia | Arthropoda | Copepoda | Harpacticoida | Tisbidae | Tisbe | Tisbe furcata furcata,adult,ectoparasitic,AphiaID:AphiaID:116911,Ocnus planci,Animalia  |  Arthropoda  |  Copepoda  |  Harpacticoida  |  Tisbidae  |  Tisbe  |  Tisbe furcata furcata,"Humes, A.G. (1980). A review of the copepods associated with holothurians, including new species from the Indo-Pacific. Beaufortia 30(4):31-123, figs. 1-40, tabs. 1-6. (28-xi-1980)"
AphiaID:116670,Tisbe holothuriae,Animalia | Arthropoda | Copepoda | Harpacticoida | Tisbidae | Tisbe | Tisbe holothuriae,adult,ectoparasitic,AphiaID:AphiaID:116670,Holothuria (Holothuria) tubulosa,Animalia  |  Arthropoda  |  Copepoda  |  Harpacticoida  |  Tisbidae  |  Tisbe  |  Tisbe holothuriae,"Humes, A.G. (1980). A review of the copepods associated with holothurians, including new species from the Indo-Pacific. Beaufortia 30(4):31-123, figs. 1-40, tabs. 1-6. (28-xi-1980)"
AphiaID:116670,Tisbe holothuriae,Animalia | Arthropoda | Copepoda | Harpacticoida | Tisbidae | Tisbe | Tisbe holothuriae,adult,endoparasitic,AphiaID:AphiaID:116670,Holothuria (Holothuria) stellati,Animalia  |  Arthropoda  |  Copepoda  |  Harpacticoida  |  Tisbidae  |  Tisbe  |  Tisbe holothuriae,"Huys, R. (1988). On the identity of the Namakosiramiidae Ho & Perkins 1977 (Crustacea, Copepoda), including a review of harpacticoid associates of Echinodermata. <em>Journal of Natural History.</em> 22(6): 1517-1532."
AphiaID:116670,Tisbe holothuriae,Animalia | Arthropoda | Copepoda | Harpacticoida | Tisbidae | Tisbe | Tisbe holothuriae,adult,endoparasitic,AphiaID:AphiaID:116670,Holothuria (Holothuria) stellati,Animalia  |  Arthropoda  |  Copepoda  |  Harpacticoida  |  Tisbidae  |  Tisbe  |  Tisbe holothuriae,"Humes, A.G. (1980). A review of the copepods associated with holothurians, including new species from the Indo-Pacific. Beaufortia 30(4):31-123, figs. 1-40, tabs. 1-6. (28-xi-1980)"
AphiaID:116670,Tisbe holothuriae,Animalia | Arthropoda | Copepoda | Harpacticoida | Tisbidae | Tisbe | Tisbe holothuriae,adult,endoparasitic,AphiaID:AphiaID:116670,Holothuria (Holothuria) stellati,Animalia  |  Arthropoda  |  Copepoda  |  Harpacticoida  |  Tisbidae  |  Tisbe  |  Tisbe holothuriae,"Humes, A.G. (1957). Deux Copépodes Harpacticoïdes nouveaux du genre Tisbe, parasites des Holothuries de la Méditerranée. <em>Vie et Milieu.</em> 8(1):9-22, figs. 1-53. (vi-1957)."
